"","x"
"1342","@JulianAssange !!!!FREE JULIAN ASSANGE!!!! 
A modern day Rev,. Dr,  Martin Luther King Jr!!

@WhiteHouse… https://t.co/jDum8GUZSs"
"1343","@ChuckGrassley @SpeakerRyan @SenateMajLdr @jeffsessions @LindseyGrahamSC @SenJohnMcCain @JohnCornyn… https://t.co/t7xSLb746f"
"1344","@ballaev @shelley_bean60 @WhiteHouse @NSCsafety So glad you found help! I'm all with alternative choises. And natur… https://t.co/h13ByuAbCE"
"1345","@SandbackaEmilia @shelley_bean60 @WhiteHouse @NSCsafety I understand that pain medicines are  needed. I know this.… https://t.co/Bqm9qhMdS2"
"1346","@davidhogg111 @emma4change @cnn @cspan @IngrahamAngle @cspan @whitehouse @ajc @wsj @abc @cbs @nbc @foxnews Wonder h… https://t.co/CHMKtE7Cu4"
"1347","@SacCIO @business @POTUS @VP @realDonaldTrump @WhiteHouse @StephenMillerAL @jaredkushner @stevenmnuchin1… https://t.co/YiUQNq7Q7Q"
"1348","@WhiteHouse Sharing stories in the internet is a superb way to provide treatment in stead of just proving citizens… https://t.co/7zXIjf9GR9"
"1349","Dear @whitehouse please tell @POTUS to  purge the State Dept of all Obama Bush Clinton warmongering holdovers...the… https://t.co/nFRmikbqHC"
"1350","@PrisonPlanet Not too bright in the @WhiteHouse right or just want reason for war as more neocons moved in to 'help' keep endless war going."
"1351","@PamMauk Breakfast: Bacon &amp; Eggs 
Lunch: Tacos from Worm Ranch (trust me) or burritos from Yungapeti or incredible… https://t.co/8dRCms6brS"
"1352","@jim_lewis1018 @WhiteHouse @BIGSEXYYT I worked nonstop for 45 years. Paid SS every paycheck. 
I get $2300 before Me… https://t.co/AOPiXBC4Xr"
"1353","@TielleTea @patobrien236 @justice69hall @DeplorableWade @ChristinesHaven @TrumpChess @Rhonj86 @Rambobiggs… https://t.co/Lf7y7wOODb"
"1354","@DebraKellogg5 @AmericanVoterUS @WhiteHouse @realDonaldTrump Actually we have. Great people! We're also helping the… https://t.co/ThtDLLy0VE"
"1355","@larryelder @MichelleObama She means, the parent that lectures you &amp; reminds you how your wrong about everything<U+203C><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>… https://t.co/w5FccY7iDt"
"1356","Drag the FBI into the Whitehouse and demand answers. Time to get tough with these traitors https://t.co/zypetpyAZ5"
"1357","@FLOTUS @WhiteHouse If U are smart U will never again live in Trump ""tinder box"" Tower. Do you trust Trump's judgme… https://t.co/cbeoeox82J"
"1358","@SandbackaEmilia @shelley_bean60 @WhiteHouse @NSCsafety I understand that. I had major spine surgery and implants.… https://t.co/DWhSgLraGU"
"1359","@HuntsmanAbby @edhenry @EPAScottPruitt @realDonaldTrump @Reince @PeteHegseth @IvankaTrump @EricTrump… https://t.co/QJwluvTuZs"
"1360","@WhiteHouse Greatest appreciation @WhiteHouse @POTUS"
"1361","@MrEdTrain @gr8tjude @POTUS @WhiteHouse  https://t.co/z6ubeGKWsQ"
"1362","@realDonaldTrump @POTUS @WhiteHouse <ed><U+00A0><U+00BD><ed><U+00B6><U+0095>
#ComradeTrump https://t.co/dUMxn8SHkW"
"1363","@eyelover @WhiteHouse I suppose; if they consider that as a line of work."
"1364","@POTUS @WhiteHouse @DonaldJTrumpJr https://t.co/HJ0Ofc8UCP"
"1365","@WhiteHouse Please my son needs your help!! Slade Windsor needs rehab not prison......opioid epidemic!!!!!"
"1366","Talk to Assad then @WhiteHouse as the plan is w/ Kim Dumb One the Rocket man. Only the #MIC is getting rich on endl… https://t.co/NZcYOXTd8g"
"1367","@Michaelvaquero @CantTeachTrump @realDonaldTrump Fitting for the dickhead from russia sullying our whitehouse pet."
"1368","@ccc951zzz @WhiteHouse @GOP After he increased it by almost 10 trillion dollars"
"1369","@KatrinaPierson @WhiteHouse @realDonaldTrump First one would need to know good from bad; Good from evil, Love from… https://t.co/jMH52kBl6p"
"1370","@n_levia @azcentral @LaynieR @WayneEdH @AngryWHStaffer @WhiteHouse @tommyxtopher @ALT_uscis are you fucking joking?"
"1371","@AnnasHodges @dolphinluvr56 @HMuhls1 @seanhannity @Disney Crazy conspiracy theories. Stop. Are you really that naiv… https://t.co/iRKsSBucF7"
"1372","@realDonaldTrump @WhiteHouse https://t.co/6EPAVWVwUh"
"1373","@MeetThePress I’m sick &amp; tired of hearing the term “fake news.”The only news that’s fake r the lies coming from… https://t.co/GmtVl0befx"
"1374","@POTUS @WhiteHouse @IvankaTrump @IvankaTrumpHQ @JohnCornyn @SenateMajLdr @senorrinhatch @LindseyGrahamSC… https://t.co/JadyAWWWZw"
"1375","Whooooooo hooooo @realDonaldTrump I love ya man!<U+2764><ed><U+00A0><U+00BD><ed><U+00B6><U+0092>PLEASE ANSWER MY EMAIL I SENT TO THE WHITEHOUSE BEFORE IT'S TOO L… https://t.co/wvRLWrmaqZ"
"1376","@realDonaldTrump @WhiteHouse @GOP @SenateGOP @SpeakerRyan @SenateMajLdr @HouseGOP @DevinNunes @ConawayTX11… https://t.co/TfaKiSjG6f"
"1377","What a spot on reminder of the dumpster fire in the @WhiteHouse and the guy chosen to be President because “he’s a… https://t.co/Ql7fCMoJJK"
"1378","SIGN THIS NOW FOR THE LOVE OF ALL THAT IS SAFE!!
https://t.co/3qwaPkcTL0"
"1379","@CherishingFaith @WhiteHouse Respectfully, this is untrue. Many people addicted to opioids were initially prescribe… https://t.co/SzbqiYX3C7"
"1380","@RealJamesWoods There will never be a better looking woman in the Whitehouse. Period."
"1381","@SandbackaEmilia @shelley_bean60 @WhiteHouse @NSCsafety They are. <ed><U+00A0><U+00BD><ed><U+00B1><U+0089>https://t.co/LTDqHKItoJ"
"1382","""Wembley loves an underdog!""

LincolnCity_FC win the CheckatradeTrpy after a 1-0 win over shrewsweb thanks to Ellio… https://t.co/faEtZlBjgc"
"1383","@Mmarty1230 @WSJ @POTUS @WhiteHouse @VP we the people do not want this !!!!
We the people want Trumps input on thes… https://t.co/EUboM6aPAf"
"1384","@realDonaldTrump @WhiteHouse ISIS and Al QAEDA foolish you with Douma. They need USA bombs for recreation Daesh in Syria."
"1385","@sharle6 @Will_Notarianni @realDonaldTrump @POTUS @WhiteHouse Thanks Sharle for this information I have limited acc… https://t.co/Bf65qbtvHa"
"1386","@realDonaldTrump @WhiteHouse @GOP @SenateGOP @SpeakerRyan @SenateMajLdr @HouseGOP @DevinNunes @ConawayTX11… https://t.co/HU8RgvNvHi"
"1387","@flowerpot197 @FoxNews @KatrinaPierson @MichelleObama @HillaryClinton @WhiteHouse And to anticipate all the truth o… https://t.co/b6SYdODJ67"
"1388","@Vityzeva @vasilieva86xxx <U+041D><U+0430><U+043F><U+043E><U+043C><U+0438><U+043D><U+0430><U+0435><U+043C> <U+043E> <U+043F><U+0440><U+0435><U+0441><U+0442><U+0443><U+043F><U+043B><U+0435><U+043D><U+0438><U+044F><U+0445> <U+0442><U+0435><U+0440><U+0440><U+043E><U+0440><U+0438><U+0441><U+0442><U+0438><U+0447><U+0435><U+0441><U+043A><U+0438><U+0445> <U+0421><U+0428><U+0410>! @POTUS @CNNPolitics @MSNBC @WSJ… https://t.co/D12Oaji8Hr"
"1389","Former Whitehouse Correspondent @AnnCompton speaking to attendees at the @NSBAComm Conference.  #NSBAConf https://t.co/iAzj0qY8ya"
"1390","@realDonaldTrump @WhiteHouse @GOP @SenateGOP @SpeakerRyan @SenateMajLdr @HouseGOP @DevinNunes @ConawayTX11… https://t.co/afKFa4qDo7"
"1391","@WhiteHouse And oddly they don't come across a border."
"1392","Are you an American Citizen? Please take a moment to Sign This #Petition to Repeal/stop #FOSTA NOW!!! Only 18 Days… https://t.co/rAtLk8qgzt"
"1393","And then, that oil &amp; gas pipeline would have taken a different route. That is the only reason U.S. has interest the… https://t.co/09XHIRCed1"
"1394","@realDonaldTrump @WhiteHouse @GOP @SenateGOP @SpeakerRyan @SenateMajLdr @HouseGOP @DevinNunes @ConawayTX11… https://t.co/t0NjHX3kEp"
"1395","LINCOLN WIN THE CHECKATRADE TROPHY
Lincoln 1-0 Shrewsbury

That it. It's all over. Elliott Whitehouse's first-half… https://t.co/IyLTCMTSv3"
"1396","Congratulations to former Blades youth prospect Elliott Whitehouse for scoring the goal that secured a Checkatrade… https://t.co/4BLEUXUGVQ"
"1397","@realDonaldTrump keep comparing
yourself with
@BarackObama!
POTUS Obama
sat down &amp; did an interview
with
@FoxNews… https://t.co/XUUnMlom4z"
"1398","@HuntsmanAbby @edhenry @EPAScottPruitt @realDonaldTrump @Reince @PeteHegseth @IvankaTrump @EricTrump… https://t.co/StwxPgF7eV"
"1399","@JudgeJeanine @realDonaldTrump Unfortunately, several of the repubs act like they are really undercover libtards...… https://t.co/X7EKYGwj6c"
"1400","You beauty . That save from allsop <ed><U+00A0><U+00BD><ed><U+00B8><U+008E> that goal of diego whitehouse <ed><U+00A0><U+00BD><ed><U+00B8><U+0099><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>. WE ARE IMPS <ed><U+00A0><U+00BC><ed><U+00B7><U+00A6><ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00BF><U+009F><U+26BD><U+FE0F> #CheckatradeTrophyFinal… https://t.co/b6P0NvbjGa"
"1401","U.S. prepares to distribute H-1B visas for skilled foreign workers without Trump-demanded changes… https://t.co/MPNX1C13i3"
"1402","Job Cowleys doing at Lincoln highly commendable &amp; EFL trophy, tho devalued, is a nice reward for club &amp; its fans<ed><U+00A0><U+00BD><ed><U+00B1><U+008F>.… https://t.co/2aZBfQSEYG"
"1403","@intenseCA @brianstelter @Acosta @funder @Rosie Apparently this Whitehouse thinks the only amendment to the constit… https://t.co/28KT4CtUQb"
"1404","@WSJ @UN @StateDept @WhiteHouse 
Hope fake media @CNN @BBCWorld @FoxNews @ABC @nytimes @AlJazeera_World etc will be… https://t.co/gxL2WDF7mr"
"1405","Man of the Match: Elliott Whitehouse

He netted @LincolnCity_FC's Wembley match-winner, and will rightly claim a pl… https://t.co/SbA3l877Ed"
"1406","@MrDySee @JackPosobiec @WhiteHouse A sitting President can't be arrested"
"1407","@realDonaldTrump @WhiteHouse @GOP @SenateGOP @SpeakerRyan @SenateMajLdr @HouseGOP @DevinNunes @ConawayTX11… https://t.co/erbPFHuLvy"
"1408","FT: Lincoln City 1-0 Shrewsbury Town. Early Whitehouse goal enough to edge well-fought @CheckatradeTrpy Final. Mean… https://t.co/gcaOnbn8IX"
"1409","""Wembley loves an underdog!""

@LincolnCity_FC win the @CheckatradeTrpy after a 1-0 win over @shrewsweb thanks to El… https://t.co/qGC70wJrSr"
"1410","@BurgerDogBoy @FoxNews @WhiteHouse You have President Trump confused with liberals--they're the ones who want to ta… https://t.co/A0CJcZRt82"
"1411","Whitehouse takes Lincoln City to victory in Wembley final                https://t.co/mgnjpxy6Yz https://t.co/sY7iEbhf7A"
"1412","@WhiteHouse Sick, when Our Military Families are struggling to care for and feed their children. Democrats giving O… https://t.co/MZQSKi4ek4"
"1413","@lbsdaly @nepaconch @WhiteHouse @POTUS @FoxNews I mean a United States patriot.  You obviously don't have the count… https://t.co/5pYD7xPS1o"
"1414","@WhiteHouse @GOP Thanks Obama"
"1415","@HuntsmanAbby @edhenry @EPAScottPruitt @realDonaldTrump @Reince @PeteHegseth @IvankaTrump @EricTrump… https://t.co/70e32fzSWM"
"1416","Sunday has got to be the most boring day of the week <ed><U+00A0><U+00BD><ed><U+00B8><U+00B4>"
"1417","Disappointing afternoon for Shrewsbury. Lincoln were difficult to play against and deserved the win. Elliot Whiteho… https://t.co/qcsro8cdsS"
"1418","Only an idiot woulda made @Larry_Kudlow a @WhiteHouse advisor, anyway."
"1419","@WhiteHouse @GOP Fake News"
"1420","<U+2728>ATTENTION<U+2728>
 CUSTOMERs, CLIENTs, &amp; FANs!

  Take a few minutes to inform yourself on the very real dangers of… https://t.co/JCKdjBz68U"
"1421","Idiocracy w/this guy &amp; @FoxNews All this “news outlet” does is defend the GOP, @RealDonad_Trump @POTUS , and… https://t.co/nNTw8xtVBA"
"1422","@ChinaDailyUSA Seeking Fair Trade is an understatement but it is a mutual event. China must show fairness: currency… https://t.co/gd4iK6Rr8z"
"1423","@LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"1424","@AlexVilaTrains @PsychoPatriot72 @jim_lewis1018 @WhiteHouse @BIGSEXYYT I live in HELLHOLE Illinois which is now a s… https://t.co/yLEJeFNqg0"
"1425","@HuntsmanAbby @edhenry @EPAScottPruitt @realDonaldTrump @Reince @PeteHegseth @IvankaTrump @EricTrump… https://t.co/IeIa1lEfVr"
"1426","@realDonaldTrump So we should expect Kelly to announce his departure from @WhiteHouse sometime this week? Thanks for the heads up."
"1427","@tomasuribeEco @AlvaroUribeVel  asesino,corrupto, conocido narcotraficante q burla no solo la justicia Colombiana..… https://t.co/E98h8LSxUb"
"1428","Well done @LincolnCity_FC and the brothers @dancowley1 @Cowleyn8 133 years without a cup win until today man of the… https://t.co/yQRHj8aTUi"
"1429","@realDonaldTrump @WhiteHouse @GOP @SenateGOP @SpeakerRyan @SenateMajLdr @HouseGOP @DevinNunes @ConawayTX11… https://t.co/I1lh7WG5uF"
"1430","#Manbij
https://t.co/5bmeCf6Ll4 @POTUS @VP 
@SenateMajLdr 
@SpeakerRyan 
@SASCMajority 
@DonaldJTrumpJr… https://t.co/hzlBatFV9z"
"1431","@Will_Notarianni @jeezecriminy @realDonaldTrump @POTUS @WhiteHouse and he doesn't see what they tweet back to him.… https://t.co/GVz2IIjJM3"
"1432","@FLOTUS @WhiteHouse @FLOTUS  was trying to be funny saying dees and dat you gotta give her credit she was funny"
"1433","@WhiteHouse @StateDept @UN @RT_com @RT_com @CNN @BBCWorld
As each country has right of self defense,
I,Only hope… https://t.co/2OFMHwWbtn"
"1434","This is actually a huge problem for Russian billionaires

Whitehouse can help lead the investigation to real estate… https://t.co/tR4VpW5vEe"
"1435","@realDonaldTrump Again I ask a favor of you...
exercise a speck of decorum.

You are making an international mocker… https://t.co/Zm73chJOxC"
"1436","17:01
LINCOLN WIN THE CHECKATRADE TROPHY
Lincoln 1-0 Shrewsbury

That it. It's all over. Elliott Whitehouse's first… https://t.co/8Waw5asDDA"
"1437","<ed><U+00A0><U+00BE><ed><U+00B4><U+00AC>@realDonaldTrump @EPA @WhiteHouse @GOP @SenateGOP @SpeakerRyan @SenateMajLdr @HouseGOP @DevinNunes @ConawayTX11… https://t.co/duKxvICuYY"
"1438","@mahdavi85 @peymaneh123 @EliLake Following the #Iranuprising of and the change in the policy of the #WhiteHouse aga… https://t.co/IsBlhjPFn4"
"1439","@AlexVilaTrains @jim_lewis1018 @WhiteHouse @BIGSEXYYT I work in the medical field and see first hand how the illega… https://t.co/FUyZETia1S"
"1440","@WhiteHouse Welcome to America <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>"
"1441","#CheckatradeTrophy: |FINAL|. #LincolnCity 1 (Whitehouse) - #Shrewsbury 0. https://t.co/Wz29hGACFa"
"1442","Fantastic for @LincolnCity_FC #UTI Whitehouse was a monster in that game !"
"1443",".@realDonaldTrump #realDonaldTrump @WhiteHouse @DeptofDefense @GOP @DeptVetAffairs #FoxNews #FoxAndFriends https://t.co/Ik72YuwsV9"
"1444","Retweeted <U+2618><U+FE0F>EddieMAGATrump<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> (@MrEdTrain):

Now ain't that the truth #MrPresident <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>@realDonaldTrump @WhiteHouse… https://t.co/Y4bzOWj1iI"
"1445","Not a bad final that. Good for Lincoln to get a win on their first trip to Wembley. Shrewsbury on the wrong end of… https://t.co/Rvi8y5QbKv"
"1446","@Will_Notarianni @jeezecriminy @realDonaldTrump @POTUS @WhiteHouse It is currently in the appeal system because Tru… https://t.co/lfAt9UiTAk"
"1447","@OaDebra @SenWhitehouse Are you texting about Senator Whitehouse? If so, I agree!"
"1448","@RealJamesWoods Beauty &amp; Elegance ...
Been a while since the Whitehouse had so lovely a @FLOTUS"
"1449","i bet the Whitehouse got the fattest drug stash"
"1450","@USVeteran2 @SBDarren @cnsnews @realDonaldTrump @WhiteHouse @TuckerCarlson Mark Levin is RIGHT. 
Somethin' better b… https://t.co/uN3wMwHprf"
"1451","@potus 2 years inpatient rehab with mandatory education job training and job placement for every drug addict.. How… https://t.co/t2eT8vSDjP"
"1452","Umm...I don’t know about that? My parents weren’t poisoning the halls of the whitehouse(or any house) by hosting al… https://t.co/YeUy1fwxWr"
"1453","Fully support the mixed bag of who we are as Americans, Yes! AND we STILL need Strong Borders! Way to go… https://t.co/njHaeRyB5S"
"1454","VICTORY!!!! It's a first major trophy for Lincoln City on their first visit to Wembley. Elliott Whitehouse's goal h… https://t.co/GPlgAAdqPH"
"1455","<ed><U+00A0><U+00BD><ed><U+00BA><U+00A8>Elliott Whitehouse<ed><U+00A0><U+00BD><ed><U+00BA><U+00A8>was the @LincolnCity_FC hero scoring <U+26BD><U+FE0F> the winner at Wembley in the EFL Checkatrade Trophy Fin… https://t.co/jdkftBDzu1"
"1456","@Heathy4u @WhiteHouse Propaganda"
"1457","@TGowdySC @SenateMajLdr @LindseyGrahamSC @SpeakerRyan @POTUS @WhiteHouse @senorrinhatch @ChuckGrassley @JohnCornyn… https://t.co/L5xeiBQvfZ"
"1458","Barack Houssein and Michelle Obama, where's the antique presidential China and silverware you stole from the Whiteh… https://t.co/OtgZU6HhQF"
"1459","@bennaboo @WhiteHouse Propaganda"
"1460","FT:

Lincoln City 1<U+20E3> (Whitehouse <U+26BD><U+FE0F>)

Shrewsbury Town 0<U+20E3>

<ed><U+00A0><U+00BC><ed><U+00BF><U+0086> Lincoln have won the #CheckatradeTrophy!"
"1461","I wish ""Built like a brick Whitehouse"" was allowed as a headline for the Checkatrade Trophy"
"1462","@Will_Notarianni @jeezecriminy @realDonaldTrump @POTUS He himself doesn't use thte @POTUS  account ot the… https://t.co/i3PCvQuLjY"
"1463","Wow, what a bunch of suckers in the @WhiteHouse.  You are being baited into going into Syria.  You've filled the Ad… https://t.co/YwbrD1i1Tl"
"1464","@elsrbrown @politico @WhiteHouse Don't blame him. He was busy watching Fox &amp; Friends."
"1465","@ballaev @shelley_bean60 @WhiteHouse @NSCsafety You are right. That's just the point. In here docs are not allowed… https://t.co/neW6sKaHlw"
"1466","@realDonaldTrump If this @WhiteHouse was not defined by chaos, these stories would have been front page news. Under… https://t.co/Ik3wXyorkO"
"1467","@Priskillet23 @disneyyfreakk @Amazing_Persian @YouTube @WhiteHouse Never forget! Hahah!"
"1468","@GramsWallach @Paulaminger1 @RepTimWalz @VetAffairsDems @WhiteHouse @SecShulkin And Tbh... Its plainly… https://t.co/gyVNQiq6gw"
"1469","FULL-TIME:

<U+26BD><U+FE0F> @LincolnCity_FC 1-0 @shrewsweb

LINCOLN HAVE DONE IT! The Imps have won the 2018 @CheckatradeTrpy on… https://t.co/WqBsOVReQK"
"1470","Congratulations @LincolnCity_FC on winning the @CheckatradeTrpy Fantastic achievement. Whitehouse MOM for me. Top lad. #ImpsAsOne #Imps"
"1471","@bennaboo @WhiteHouse Trump stretches the truth to feel important. Then there are blatant lies, like you can keep y… https://t.co/KbyAlkcH9V"
"1472","Congratulations to former Boro midfielder Elliott Whitehouse, who scored the only goal of the game and won man of t… https://t.co/4VYJTGnkxE"
"1473","FULL-TIME: Town 0 @LincolnCity_FC 1. Elliot Whitehouse's first-half goal proves to be the difference between the tw… https://t.co/NFF05EJp2X"
"1474","@POTUS @WhiteHouse https://t.co/TZxesbtMzZ"
"1475","@WhiteHouse @realDonaldTrump Keep up the good work!  #MAGA"
"1476","#HonoringHeroes #OTD ‘08: President George W. Bush with George and Sally Monsoor after presenting them the Medal of… https://t.co/3l4FUTPWHO"
"1477","@LauraIN79 @smidge9099 @jim_lewis1018 @WhiteHouse @BIGSEXYYT <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Well Laura, All I can say is , ""Go Irk Yourself to no end"" So there you are."
"1478","@Asif_observer @FoxNews @KatrinaPierson @MichelleObama @HillaryClinton @WhiteHouse While that parent was hiding the… https://t.co/iZRfwH4v6C"
"1479","@WhiteHouse Thank you"
"1480","@dougharris66 @TomBossert45 @DeptVetAffairs @USNavy @WhiteHouse @MarthaRaddatz @dougharris66 I can’t believe you ar… https://t.co/iHVVJFcj1K"
"1481","@WatchJoe @WhiteHouse Propaganda"
"1482","“We have found a number of documents that would indicate that there was coordination with the Whitehouse....with th… https://t.co/gHsHquTwvl"
"1483","Somebody saves a person only.
It is wrong. @whitehouse 
#peace #war #Philosophy Please #RT"
"1484","@shelley_bean60 @SandbackaEmilia @WhiteHouse @NSCsafety True fact.... But, doctors in the US are still overprescrib… https://t.co/GluukDr9cc"
"1485","@WhiteHouse ISIS IS IN MEXICO SINALOA MOUNTAINS"
"1486","Sunday, 08 April 2018
11:00 - #POTUS travel outside the #WhiteHouse secure area is NOT expected for the remainder o… https://t.co/vHUo1E5vzc"
"1487","@JeffreyGuterman @WhiteHouse This @JeffreyGuterman is sick and needs help. He is a counselor?? The oversight of his… https://t.co/RmeUmBvmPw"
"1488","939 Days - 18 Hours until we can #vote #Trump
out of office and fix the #whitehouse."
"1489","@WhiteHouse This is what our kids think of @POTUS , loser....
https://t.co/Gp4x6GOC2R"
"1490","@realDonaldTrump @CNN @NYTimes @Washingtonpost @ABCNews @NBCNews @CBSNews

Why attack #ObamaLegacy ?

@BarackObama… https://t.co/G6Wts2tJ7Y"
"1491","@WhiteHouse ISIS IS IN MEXICO SINALOA MOUNTAINS PLEASE DO SOMETHING"
"1492","@GramsWallach @Paulaminger1 @RepTimWalz @VetAffairsDems @WhiteHouse @SecShulkin That thrills my heart!   But I'll s… https://t.co/T3gH8jivvG"
"1493","@OHenryHernandez @FoxNews @KatrinaPierson @MichelleObama @HillaryClinton @WhiteHouse Mistakes.  People make them.… https://t.co/hql3t7rIGu"
"1494","@a_used_car4sale @peplamb @WhiteHouse Propaganda"
"1495","@GaetaSusan @GayleMedley @realDonaldTrump Agreed BUT @POTUS MUST simultaneously also #KeepHisPromise to… https://t.co/PK0bGNA7y7"
"1496","Marcelo’s touch <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #RealMadridAtleti #RMAATM"
"1497","PLEASE flood this email address to the WH with your request to release the additional H-2B Visas. Small businesses… https://t.co/s4DAGpmYfl"
"1498","@PressSec @WhiteHouse @SecretarySonny Yes he did for get them he didn't care for them in the first place he wanted their votes"
"1499","@WhiteHouse https://t.co/95JHwkA2vR"
"1500","@LauraIN79 @smidge9099 @jim_lewis1018 @WhiteHouse @BIGSEXYYT Gee Rosann,  We have a Snowflake Troll with 1 follower… https://t.co/GQOaISHp4o"
"1501","@realDonaldTrump Fire at trump tower is out but you are constantly putting out fires in your Whitehouse. Incompetent."
"1502","https://t.co/Butnutbm1W"
"1503","@FoxNews @KatrinaPierson @MichelleObama @HillaryClinton @WhiteHouse @FLOTUS Melania has 2 accomplishments to date:… https://t.co/mNLo8SePAq"
"1504","@katiecabo19 @realDonaldTrump @WhiteHouse The left https://t.co/Hotxnnb4Oo"
"1505","@4SwiftJustice @Ohio_Buckeye_US @realDonaldTrump @POTUS @WhiteHouse This is what the country is coming to?  Hateful… https://t.co/zC6Kqr9UvT"
"1506","@WhiteHouse @GOP FAKE NEWS (trump news)"
"1507","@joylovetrust @WhiteHouse PROPAGANDA!"
"1508","Once again the Whitehouse Correspondence Dinner will not have desert: Trump Pie A la Mode (with two scoops)"
"1509","You’ve already my opinions on this heartless person @WhiteHouse Here’s more from others... https://t.co/7hyrBbzuEQ"
"1510","@ballaev @shelley_bean60 @WhiteHouse @NSCsafety Bcause almost everyone I've talked during last years say that docs… https://t.co/dW8hzbP7rF"
"1511","Q!xowAT4Z3VQ  04/07/18 (Sat) 11:30:01 9da7c7 No.937520

https:// https://t.co/i7bL7D6RG7

Listen carefully.

Q… https://t.co/zNvolIULFy"
"1512","Ok - Almost time to panic! https://t.co/xaQzJ1FFjF #FTSE #NYSE #DJIA #TradeWar #China #WhiteHouse #FederalReserve… https://t.co/zyob34e09D"
"1513","@FoxNews @DiamondandSilk @facebook I hate these two traitors go to hell or even better go live in the whitehouse wi… https://t.co/VrnoptNBEn"
"1514","@WhiteHouse Attack the root of the problem starting with families, education, mental help, support groups to build… https://t.co/8K07ooPAGY"
"1515","Ghost Stories review – enjoyably spooky horror anthology https://t.co/JFkY6hRHkD"
"1516","@DailyCaller “Slammed by his own side?” That’s divisive &amp; as such offensive. Are we all expected to choose a side?… https://t.co/sicZuod0NE"
"1517","@ballaev @shelley_bean60 @WhiteHouse @NSCsafety Well. I'm a RN. Worked 20yrs with cancer patients, cardiac etc. And… https://t.co/Anc306KnIL"
"1518","@SputnikInt @WhiteHouse new secretary of state desperate about his decades old plans for the middle east as if he owned the effing place!"
"1519","@JoAnnMa13098968 @AmericanVoterUS @WhiteHouse @realDonaldTrump BOT!"
"1520","DESPICABLE --- ""TOTAL BASTARDS"" WHO DO --- @DefraGovUK @RSPCA_official @10DowningStreet @SkyNews @metpoliceuk… https://t.co/kDMNEabCLn"
"1521","@POTUS @WhiteHouse https://t.co/u9jfYCv2QF"
"1522","@LockDemsUp @VikingBearGod @t0lerantparad0x @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan @thebradfordfile… https://t.co/ZMZD1X7rbe"
"1523","@realDonaldTrump @IvankaTrump @FLOTUS @PressSec @BetsyDeVos @DLoesch @TomiLahren @SecondLady @WhiteHouse… https://t.co/yyJSEOz7qW"
"1524","Are these words of friendship real? What side deal have u set up with Xi that'll always benefit you even if it does… https://t.co/NKkyI7oJS0"
"1525","@cnn @JimAcosta when will you fools learn, the Americans don’t want to hear your constant attacks on #POTUS ?  You… https://t.co/ial2DjnoNG"
"1526","@Retlaw55E @Tierrah46 @WhiteHouse BUILD THAT WALL"
"1527","@VP @POTUS What price? Your boss (Putin) has told you to not do anything. We all know who runs the @WhiteHouse and… https://t.co/y1jpkAP5cL"
"1528","@jeffsessions @POTUS @WhiteHouse @LindseyGrahamSC @MELANIATRUMP https://t.co/TIaxruDSrG"
"1529","@VP @POTUS Invitation from trump  for Putin to visit Whitehouse 
Assad was suppose to get rid of all chemical weapo… https://t.co/4480L9VTp6"
"1530","@FoxNews @KatrinaPierson @MichelleObama @HillaryClinton @WhiteHouse Sorry, I resent the notion that we, the free pe… https://t.co/M0n5j7TzI4"
"1531","@KRISTINESIORDIA @WhiteHouse I was just there and talking to real citizens, not corrupt  politicians or scripted jo… https://t.co/bTmZubPVdI"
"1532","@SacCIO @business @POTUS @VP @realDonaldTrump @WhiteHouse @StephenMillerAL @jaredkushner @stevenmnuchin1… https://t.co/8giBSxqiSd"
"1533","@realDonaldTrump @WhiteHouse @POTUS https://t.co/trZyu2kE7H"
"1534","The harsh reality of #Russia's geopolitical gains in the #Mideast now confront @WhiteHouse &amp; incoming National Secu… https://t.co/x845eG66m9"
"1535","@POTUS @WhiteHouse https://t.co/UXRNuzFr6q"
"1536","@realDonaldTrump Why would Assad do this?

What was his gain?

DON'T GET FOOLED AGAIN POTUS

@WhiteHouse"
